brand,category,dimensions,id,imageurl,longdescr,modelno,orig_techdetails,original_id,price,shipweight,shortdescr,techdetails,title
lacie,electronics general,16 1 x 11 5 x 0 9 inches,22085,http i walmartimages com i p 00 09 30 53 79 0009305379797 300x300 jpg,key features bubble protection and soft inside lining three pockets optional handle for 15 in macbooks color black,130935, ul li bubble protection and soft inside lining li three pockets li for 15 in macbooks ul ,11,15,1 3,the lacie formoa line of carrying cases is a convenient way for you to carry your netbook designed by sam hecht the formoa has handles that you can either use or remove giving you the option to carry it or use it as a sleeve with its three pockets you can carry your power supply and any other accessories you need letting you take it all with you its neoprene exterior with protective bubbles and inside suede lining means that your laptop is secure against small bumps and scratches whether you use the handles or not you can be sure that your electronic gear will always be safe ,bubble protection and soft inside lining three pockets for 15 in macbooks,lacie formoa 15 macbook carrying case black
draper,electronics general,,22086,http i walmartimages com i mp 00 64 10 92 12 0064109212230 p255045 300x300 jpg,dr5377targa electric projection screen ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms the motor is mounted inside the roller for a trim balanced appearance pentagonal steel case is scratch resistant white polyester finish with matching endcaps features now available in 16 10 and 15 9 laptop presentation formats screen operates instantly at the touch of a button and stops automatically in the up and down positions viewing surface can be lowered to any position at the touch of a switch ntsc hdtv and widescreen format screens have black borders on all four sides available with a ceiling trim kit for ceiling recessed installation with control options it can be operated from any remote location depending on surface available in sizes through 16 x 16 and 240 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained performs well in ambient light condition high contrast grey s lower gain of 0 8 allows use with even the brightest projectors viewing cone of 180 available on most non tensioned motorized and manual screens seamless in sizes up to 8 in height peak gain of 0 8 ,116263,targa electric projection screen ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms the motor is mounted inside the roller for a trim balanced appearance pentagonal steel case is scratch resistant white polyester finish with matching endcaps features now available in 16 10 and 15 9 laptop presentation formats screen operates instantly at the touch of a button and stops automatically in the up and down positions viewing surface can be lowered to any position at the touch of a switch ntsc hdtv and widescreen format screens have black borders on all four sides available with a ceiling trim kit for ceiling recessed installation with control options it can be operated from any remote location depending on surface available in sizes through 16 x 16 and 240 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained performs well in ambient light condition high contrast grey s lower gain of 0 8 allows use with even the brightest projectors viewing cone of 180 available on most non tensioned motorized and manual screens seamless in sizes up to 8 in height peak gain of 0 8 ,12,1730 95,100,,targa electric projection screen ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms the motor is mounted inside the roller for a trim balanced appearance pentagonal steel case is scratch resistant white polyester finish with matching endcaps features now available in 16 10 and 15 9 laptop presentation formats screen operates instantly at the touch of a button and stops automatically in the up and down positions viewing surface can be lowered to any position at the touch of a switch ntsc hdtv and widescreen format screens have black borders on all four sides available with a ceiling trim kit for ceiling recessed installation with control options it can be operated from any remote location depending on surface available in sizes through 16 x 16 and 240 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained performs well in ambient light condition high contrast grey s lower gain of 0 8 allows use with even the brightest projectors viewing cone of 180 available on most non tensioned motorized and manual screens seamless in sizes up to 8 in height peak gain of 0 8 ,draper high contrast grey targa electric screen widescreen 182 diagonal
draper,electronics general,,22087,http i walmartimages com i mp 00 64 10 92 10 0064109210858 p255045 300x300 jpg,dr7989the access multiview series e offers total flexibility one screen two formats ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection features ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection flat black mask on second motor in roller converts the projection screen to a 4 3 ntsc format by masking the right and left sides of the viewing surface height of viewing surface remains constant custom sizes available screen material at1200 innovative and versatile acoustically transparent screen material similar in gain performance to standard matt white acoustical properties comparable to the finest speaker grille cloth peak gain of 1 0 ,106018,the access multiview series e offers total flexibility one screen two formats ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection features ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection flat black mask on second motor in roller converts the projection screen to a 4 3 ntsc format by masking the right and left sides of the viewing surface height of viewing surface remains constant custom sizes available screen material at1200 innovative and versatile acoustically transparent screen material similar in gain performance to standard matt white acoustical properties comparable to the finest speaker grille cloth peak gain of 1 0 installation instructions,13,4375 95,96,,the access multiview series e offers total flexibility one screen two formats ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection features ceiling recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection flat black mask on second motor in roller converts the projection screen to a 4 3 ntsc format by masking the right and left sides of the viewing surface height of viewing surface remains constant custom sizes available screen material at1200 innovative and versatile acoustically transparent screen material similar in gain performance to standard matt white acoustical properties comparable to the finest speaker grille cloth peak gain of 1 0 installation instructions,draper at1200 access multiview series e acoustically transparent screen 106 diagonal hdtv to ntsc format
stanley,electronics general,9 75 x 5 0 x 2 25 inches,22088,http i walmartimages com i p 00 89 74 50 00 0089745000234 300x300 jpg,500 watts of continuous power 2 110 power outlets and a usb outlet 4 position mounting grommets includes battery clamps and dc plug,pc509, li 500 watts of continuous power li battery clamps li dc plug,14,34 88,2 6,the 500 watt power inverter has 500 continuous watts of power two 110 power outlet and a usb power outlet there are four position mounting grommets and direct battery mounts includes battery clips and dc plug also has an overload protection battery alarm short circuit protection and fault interrupter etl listed ,500 watts of continuous power battery clamps dc plug,stanley 500 watt power inverter
gear head,electronics general,7 2 x 4 4 x 3 5 inches,22089,http i walmartimages com i p 08 78 26 00 02 0878260002214 300x300 jpg,gear head 1 3mp webcam up to 1 3 megapixel image capture 640 x 480 video resolution built in snapshot and microphone night vision led technology desktop or laptop mount includes 6 usb cable interpolation software cd user manual and warranty information system requirements windows 2000 xp vista or 7 available usb port cd rom drive for software installation,wc1200red, li up to 1 3 megapixel image capture li 640 x 480 video resolution li desktop or laptop mount,15,15 98,1 5,chat face to face with your friends even when you re miles away with the gear head 1 3 megapixel webcam record high quality videos and send them to friends and family or keep up with relatives on the other side of the country with the gear head 1 3 megapixel webcam you re never too far away ,up to 1 3 megapixel image capture 640 x 480 video resolution desktop or laptop mount,gear head quick 1 3mp webcam with night vision red black
avery,stationery amp office machinery,,22090,http i walmartimages com i p 00 07 27 82 05 0007278205029 300x300 jpg,avery self adhesive filing labels clear 1 3 cut filing labels create as custom look clear labels virtually disappear on tabs labels come in a pack of 450 labels are 3 7 16,5029, li clear 1 3 cut filing labels li clear labels virtually disappear on tabs li labels are 3 7 16 quot x 2 3 quot ,16,21 47,0 412,use the avery self adhesive filing labels for easy color coding and a custom professional look the labels have a permanent adhesive and are guaranteed to stick and stay the avery self adhesive filing labels are easy to use and the ideal companion for a,clear 1 3 cut filing labels clear labels virtually disappear on tabs labels are 3 7 16,avery self adhesive filing labels 1 3 cut 3 7 16 x 2 3 clear 450 pack
xfx,electronics general,32 4 x 16 4 x 10 0 inches,22091,http i walmartimages com i p 00 77 86 56 05 0077865605376 300x300 jpg,amd radeon hd6850 pcie 1gb ddr5 graphics card 800 mhz gpu core clock 4200 mhz memory speed 2gb gddr5 amd hd3d technology amd crossfirex multi gpu support pci e 2 1 bus support microsoft directx 11 support amd eyefinity technology capable of up to 3 displays 40 nanometer process technology 3rd generation terascale engine amd powerplay technology enhanced unified video decoder enhanced internet browser application support enhanced microsoft office 2010 support hdmi 1 4a with support for stereoscopic 3d deep color and xvycc extended gamut built in displayport 1 2,hd685xzndc, li 800 mhz gpu core clock li 4200 mhz memory speed li 2gb gddr5,17,195,1 08,the amd radeon hd 6850 ushers in a new era of gaming that takes users to an entirely new level of 3 d experience that is truly immersive and seamless amd has also teamed up with other open 3 d ecosystem partners to provide consumers with more choice more innovation and lower cost ,800 mhz gpu core clock 4200 mhz memory speed 2gb gddr5,xfx radeon hd6850 pcie 1gb ddr5 graphics card
skb cases,electronics general,19 0 x 14 0 x 10 0 inches,22092,http i walmartimages com i mp 00 78 92 70 19 0078927019146 p255045 300x300 jpg,sk1027telescoping retractable pull handle convenience combined with maximum strength and durability help this line of skb transit cases set a new industry standard molded of high density polyethylene with designed in roller blade style wheels molded in bumpers defend these cases from impact damage features cases are molded of durable impact resistent high density polyethylene convenient retractable pull handle quiet durable roller blade style wheels molded in protective bumpers protect case hardware heavy duty buckle latch system comfortable spring loaded side handles dimensions outside dimensions 11 1 2 h x 21 5 8 w x 16 3 8 d inside dimensions 10 h x 19 3 8 w x 14 d lid depth 4 base depth 6 about skb cases in 1977 the first skb case was manufactured in a small anaheim california garage today skb engineers provide cases for hundreds of companies involved in many diverse industries we enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders we never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow we are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an skb logo has been manufactured with an unconditional commitment to unsurpassed quality the million mile guaranty every skb hardshell case is unconditionally guaranteed forever that means if you break it we will repair or replace it at no cost to you skb cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations these are tough cases built for a lifetime of service the manufacturing process the evolution components and construction of skb cases the unique styling construction materials and engineering of skb cases were the result of many years of research and development by the principle owners of the company today dave sanderson and steve kottman run skb corporation s more than 550 employees in 3 manufacturing facilities around the clock in order to meet the global demands currently skb manufactures cases for military industrial purposes the music pro audio industry and sports cases skb cases are manufactured of ultra high molecular weight polyethylene this unique material was originally specified by the military for use in weapons cases due to the fact that it is impervious to solvents fuels or toxic liquids it is essentially indestructible molds easily under heat and forms an impenetrable shield thereby protecting whatever it is contains skb also utilizes aluminum valance material for its strength and lightweight characteristics on all closures with a special slot for a custom fitted neoprene gasket that assists in sealing out moisture skb does all this valance bending in house to assure a perfect fit all riveting on skb cases utilizes steel backing plates to prevent pulling through the plastic material this is an skb invention this attention to detail is one of many factors that make skb cases superior to all others handles wheels d rings exterior feet cam action locking latches and butterfly clamps are all heavy duty variety and are also covered under the exclusive skb lifetime warranty unless abused some of the handles and latches are manufactured by skb from plastic regrind plus skb has their own investment casting facility for making latches and hardware rack mount cases utilize aluminum rack frames and include specially designed rack clips and mounting screws for installation of equip,3skb 1914mr,telescoping retractable pull handle convenience combined with maximum strength and durability help this line of skb transit cases set a new industry standard molded of high density polyethylene with designed in roller blade style wheels molded in bumpers defend these cases from impact damage features cases are molded of durable impact resistent high density polyethylene convenient retractable pull handle quiet durable roller blade style wheels molded in protective bumpers protect case hardware heavy duty buckle latch system comfortable spring loaded side handles dimensions outside dimensions 11 1 2 h x 21 5 8 w x 16 3 8 d inside dimensions 10 h x 19 3 8 w x 14 d lid depth 4 base depth 6 about skb cases in 1977 the first skb case was manufactured in a small anaheim california garage today skb engineers provide cases for hundreds of companies involved in many diverse industries we enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders we never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow we are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an skb logo has been manufactured with an unconditional commitment to unsurpassed quality the million mile guaranty every skb hardshell case is unconditionally guaranteed forever that means if you break it we will repair or replace it at no cost to you skb cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations these ar,18,214 99,14,,telescoping retractable pull handle convenience combined with maximum strength and durability help this line of skb transit cases set a new industry standard molded of high density polyethylene with designed in roller blade style wheels molded in bumpers defend these cases from impact damage features cases are molded of durable impact resistent high density polyethylene convenient retractable pull handle quiet durable roller blade style wheels molded in protective bumpers protect case hardware heavy duty buckle latch system comfortable spring loaded side handles dimensions outside dimensions 11 1 2 h x 21 5 8 w x 16 3 8 d inside dimensions 10 h x 19 3 8 w x 14 d lid depth 4 base depth 6 about skb cases in 1977 the first skb case was manufactured in a small anaheim california garage today skb engineers provide cases for hundreds of companies involved in many diverse industries we enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders we never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow we are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an skb logo has been manufactured with an unconditional commitment to unsurpassed quality the million mile guaranty every skb hardshell case is unconditionally guaranteed forever that means if you break it we will repair or replace it at no cost to you skb cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations these ar,skb cases ph series pull handle case 11 1 2 h x 21 5 8 w x 16 3 8 d outside
innovera,storage,,22093,http i walmartimages com i p 00 68 60 24 39 0068602439701 300x300 jpg,innovera 25pk cd dvd pocket with built in label tab clear cd pocket with built in tab for adhesive id labels tuck in flap keeps cds secure fits most standard cd storage units durable construction deters moisture and dust and helps keep cds clean 30 adhesive labels included,39701, li cd pocket with built in tab for adhesive id labels li tuck in flap keeps cds secure li 30 adhesive labels included,19,5 28,0 386,the innovera cd dvd pocket with built in label tab is a space saving polypropylene pocket that features built in tab for adhesive labels included the tuck in flap keeps cds secure ,cd pocket with built in tab for adhesive id labels tuck in flap keeps cds secure 30 adhesive labels included,innovera cd dvd pocket with built in label tab clear 25 pack
hp,stationery amp office machinery,,22094,http i walmartimages com i p 00 08 86 98 62 0008869862919 300x300 jpg,hp 80 ink printhead printhead cleaner print cartridge printhead and printhead cleaner available in black cyan magenta and yellow printing technology inkjet for use with hp designjet 1050c and 1055cm printers yields up to 4400 pages,c4890a, li print cartridge printhead and printhead cleaner li printing technology inkjet,20,268 79,1 79,the hp 80 ink printhead printhead cleaner is the perfect choice for users who produce precise black and color line drawings or high quality color renderings maps and graphics it features a built in smart chip for outstanding print quality without guesswork the hp 80 ink printhead printhead cleaner is hp engineered to work together as part of a modular ink system ,print cartridge printhead and printhead cleaner printing technology inkjet,hp 80 ink printhead printhead cleaner black c4890a
mead,stationery amp office machinery,,22095,http i walmartimages com i p 00 04 31 00 06 0004310006622 300x300 jpg,mead spiral bound notebook 3 hole punched college rule sheet size 8 100 sheets pad assorted color covers,6622, li 3 hole punched li college rule li sheet size 8 quot x 10 1 2 quot li available in 100 120 or 180 sheets per pad,21,3 88,0 837,stay organized with with this spiral bound notebook from mead this notebook is perfect for keeping notes for class work or personal projects ,3 hole punched college rule sheet size 8 available in 100 120 or 180 sheets per pad,mead spiral bound notebook college rule
iogear,networking,10 0 x 7 0 x 3 0 inches,22096,http i walmartimages com i p 00 88 13 17 00 0088131700513 300x300 jpg,iogear 2 port miniview micro usb plus kvm switch 2 x usb ports 6 molded in cables simplify setup full support for mac and sun systems port selection through hot keys usb sniffing technology for error free boot up plug and play monitor support built in autoscan mode,gcs632uw6, li 6 molded in cables simplify setup li full support for mac and sun systems li usb sniffing technology for error free boot up,22,37 57,1 15,introducing the 2 port miniview micro usb plus kvm switch from iogear is the simplest way to simultaneously run and share audio between two computers with a single usb keyboard monitor and usb mouse this self powered kvm switch features the unique usb sniffing technology for usb mouse and keyboard emulation to ensure smooth operation as well as support for plug and play monitors and most wheel mice our patented video signal enhancement technology provides rich 32 bit color at resolutions up to 2048 x 1536 another big plus is the miniview s capability to provide audio support it allows you to share your multimedia speakers between the two connected computers when using a pc keyboard a special set of hot keys is designed to emulate the special keys on mac and sun machines with 6 long kvm cables molded into the miniview micro usb plus all you need to do is to plug it into your computers and you ve got a complete kvm solution from iogear ,6 molded in cables simplify setup full support for mac and sun systems usb sniffing technology for error free boot up,iogear 2 port miniview micro usb plus kvm switch
quartet,stationery amp office machinery,,22097,http i walmartimages com i p 00 03 41 38 02 0003413802305 300x300 jpg,quartet cork bulletin board self healing cork durable frame with heavy duty mounting system perfect for school home or office use,2305, li self healing cork surface li perfect for school home or office use li includes mounting hardware,23,91 44,16 16,the quartet cork bulletin board is an affordable and dependable solution for display and posting information the self healing cork surface prevents pin marks and holes ,self healing cork surface perfect for school home or office use includes mounting hardware,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame
avery,stationery amp office machinery,,22098,http i walmartimages com i p 00 07 27 82 06 0007278206878 300x300 jpg,avery shipping labels for color laser and copier matte white 300 set matte white mailing labels provide vivid color and sharp text for brilliant high resolution color images guaranteed printer performance in hp canon epson and other popular printers set of 300 labels,, li matte white mailing labels li guaranteed printer performance in hp canon epson and other popular printers li set of 300 labels,24,16 67,,create labels that get noticed these labels are ideal for mailings messages invitations and announcements don t let the small areas of life elude your personality make labels that speak to your creativity ,matte white mailing labels guaranteed printer performance in hp canon epson and other popular printers set of 300 labels,avery shipping labels for color laser copier 3 3 4 x 4 3 4 matte white 100 pack
aluratek,mp3 accessories,6 25 x 4 75 x 1 0 inches,22099,http i walmartimages com i p 00 81 26 58 01 0081265801087 300x300 jpg,aluratek deluxe leather travel case for the libre ebook reader pro premium quality hand stitched leather held securely with outside magnetic clasp securely holds the ebook reader in place with flexible straps on top and bottom lightweight and compact for easy travel sturdy and stylish black leather exterior protects the libre soft suede interior protects screen from scratches built in pockets in inside flap compatible with aluratek libre pro,2782753, li premium quality hand stitched leather li held securely with outside magnetic clasp li lightweight and compact for easy travel li sturdy and stylish black leather exterior,25,23 1,0 5,aluratek s deluxe leather travel case is designed exclusively for the libre ebook reader pro this unique leather case lets you carry your libre pro in style ,premium quality hand stitched leather held securely with outside magnetic clasp lightweight and compact for easy travel sturdy and stylish black leather exterior,aluratek deluxe leather travel case for the libre ebook reader pro
hp,printers,1 0 x 1 0 x 1 0 inches,22100,http i walmartimages com i p 00 88 44 20 58 0088442058870 300x300 jpg,hp ce278a black laserjet print cartridge 1 print cartridge color black printing technology laserjet compatibility pc page yield about 2100 standard pages,hp ce278a, li 1 print cartridge li color black li printing technology laserjet,26,69 84,1 8,get a great value for everyday business printing with hp laserjet print cartridges these print cartridges will save you time minimize downtime and deliver results you can count on produce bold crisp text and sharp black and white images every time you print this easy to use hp laserjet print cartridge is designed for trouble free printing and convenient free recycling through the hp planet partners program ,1 print cartridge color black printing technology laserjet,hp ce278a black laserjet print cartridge
cyberpower,electronics general,13 5 x 11 2 x 6 3 inches,22101,http i walmartimages com i p 00 64 95 32 60 0064953260962 300x300 jpg,cyber power pfc 1000va lcd sinewave adaptive intelligent ups intelligent lcd diagnostic display automatic voltage regulation reduced energy costs and reduced heat ultra quiet tamper proof power button usb connectivity emi rfi filters audible alarms,cp1000pfclcd, li intelligent lcd diagnostic display li automatic voltage regulation li reduced energy costs and reduced heat,27,151,19 15,protect your computer system or network from power interruptions with the sinewave adaptive intelligent ups this uninterruptible power supply safeguards mid to high end computer systems that use conventional and active power factor correction power supplies the sinewave adaptive intelligent ups uses an automatic voltage regulation topology to deliver clean and consistent ac power to protect equipment in case of power interruptions ,intelligent lcd diagnostic display automatic voltage regulation reduced energy costs and reduced heat,cyber power pfc 1000va lcd sinewave adaptive intelligent ups
